City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,80.64,62,100,3.0,overcast clouds
1,Zhigansk,RU,66.7697,123.3711,53.98,64,100,14.14,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,41.49,83,49,5.06,scattered clouds
3,Monteiro,BR,-7.8894,-37.12,78.6,55,67,12.44,broken clouds
4,Anito,PH,12.4497,125.2886,79.05,87,79,3.6,broken clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,70.56,91,83,5.99,broken clouds
6,Itoman,JP,26.1247,127.6694,84.4,89,100,11.5,overcast clouds
7,Port Alfred,ZA,-33.5906,26.891,65.17,74,48,11.7,scattered clouds
8,Norman Wells,CA,65.282,-126.8329,59.04,72,75,16.11,broken clouds
9,Atar,MR,20.5169,-13.0499,114.66,6,5,14.76,clear sky
10,Usinsk,RU,65.9939,57.5281,67.84,90,98,7.94,light rain
11,Constantine,DZ,36.365,6.6147,96.21,20,0,11.5,clear sky
12,Ushuaia,AR,-54.8,-68.3,40.66,56,40,2.3,scattered clouds
13,Sterling,US,39.0062,-77.4286,86.23,70,75,5.99,broken clouds
14,Buinsk,RU,54.95,48.2833,71.53,78,47,4.74,light rain
15,Hithadhoo,MV,-0.6,73.0833,83.39,77,36,15.01,scattered clouds
16,Kamenka,RU,51.3223,42.7678,73.42,68,38,6.71,scattered clouds
17,Busselton,AU,-33.65,115.3333,56.97,75,86,5.82,overcast clouds
18,Stephenville,US,32.2207,-98.2023,89.87,51,0,5.01,clear sky
19,Lorengau,PG,-2.0226,147.2712,81.3,80,7,9.64,clear sky
20,Khatanga,RU,71.9667,102.5,58.98,58,84,7.61,broken clouds
21,Xining,CN,36.6167,101.7667,56.79,76,100,2.24,overcast clouds
22,Clyde River,CA,70.4692,-68.5914,50.23,57,75,19.57,broken clouds
23,Awjilah,LY,29.1081,21.2869,95.5,18,0,9.86,clear sky
24,Araouane,ML,18.9048,-3.5265,109.62,12,8,14.56,clear sky
25,Torbay,CA,47.6666,-52.7314,73.89,51,40,10.36,scattered clouds
26,Kodiak,US,57.79,-152.4072,54.91,88,100,9.22,light rain
27,Hilo,US,19.7297,-155.09,79.29,100,100,1.99,moderate rain
28,Nikolayevka,RU,53.1257,47.2041,74.52,64,46,3.31,scattered clouds
29,Lima,PE,-12.0432,-77.0282,62.91,77,100,8.05,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,71.91,79,100,19.28,light rain
31,Tigil,RU,57.8,158.6667,54.99,84,2,1.86,clear sky
32,Nanortalik,GL,60.1432,-45.2371,41.88,87,100,2.13,overcast clouds
33,Bredasdorp,ZA,-34.5322,20.0403,65.01,53,44,3.13,scattered clouds
34,Atuona,PF,-9.8,-139.0333,76.41,78,24,13.18,light rain
35,Mount Isa,AU,-20.7333,139.5,44.37,81,0,0.0,clear sky
36,Mattru,SL,7.6244,-11.8332,79.7,85,71,5.84,moderate rain
37,Faanui,PF,-16.4833,-151.75,77.04,69,23,25.5,light rain
38,Port Lincoln,AU,-34.7333,135.8667,56.01,85,22,15.52,few clouds
39,Anadyr,RU,64.75,177.4833,55.9,71,20,11.18,few clouds
40,Cidreira,BR,-30.1811,-50.2056,67.48,89,100,4.23,overcast clouds
41,Hasaki,JP,35.7333,140.8333,72.28,97,100,15.64,light rain
42,Chalmette,US,29.9427,-89.9634,90.99,68,70,4.0,broken clouds
43,Saint-Pierre,RE,-21.3393,55.4781,68.92,80,75,20.71,broken clouds
44,Beringovskiy,RU,63.05,179.3167,49.91,78,83,7.09,broken clouds
45,Kaitangata,NZ,-46.2817,169.8464,37.44,74,12,7.76,few clouds
46,Mahon,ES,39.8885,4.2658,90.16,45,0,6.91,clear sky
47,Mayo,US,38.8876,-76.5119,87.67,77,100,4.0,overcast clouds
48,Erenhot,CN,43.6475,111.9767,74.79,51,52,18.3,broken clouds
49,Salalah,OM,17.0151,54.0924,77.68,95,100,6.49,overcast clouds
50,Barrow,US,71.2906,-156.7887,36.07,78,57,3.33,broken clouds
51,Cape Town,ZA,-33.9258,18.4232,77.41,42,0,4.61,clear sky
52,Ponta Do Sol,PT,32.6667,-17.1,78.12,71,18,8.16,few clouds
53,Butaritari,KI,3.0707,172.7902,78.06,86,100,11.21,light rain
54,Ust-Kuyga,RU,70.0167,135.6,45.82,82,88,5.41,overcast clouds
55,Vaini,TO,-21.2,-175.2,69.96,100,20,3.44,few clouds
56,Hermanus,ZA,-34.4187,19.2345,66.79,53,17,1.68,few clouds
57,Fortuna,US,40.5982,-124.1573,61.93,91,100,3.0,overcast clouds
58,Pirenopolis,BR,-15.8525,-48.9592,82.89,21,70,3.27,broken clouds
59,Bambous Virieux,MU,-20.3428,57.7575,70.21,73,40,10.36,scattered clouds
60,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,65,0,9.22,clear sky
61,Pevek,RU,69.7008,170.3133,33.08,94,100,7.76,overcast clouds
62,Solton,RU,52.8429,86.4787,58.57,82,71,2.13,broken clouds
63,Nerchinskiy Zavod,RU,51.3088,119.61,61.57,92,100,3.22,overcast clouds
64,Tasiilaq,GL,65.6145,-37.6368,43.75,74,100,3.65,overcast clouds
65,Leshukonskoye,RU,64.8989,45.7622,67.1,70,63,8.59,broken clouds
66,Thompson,CA,55.7435,-97.8558,73.56,49,40,2.3,smoke
67,Tiksi,RU,71.6872,128.8694,44.62,82,99,3.31,overcast clouds
68,Tuatapere,NZ,-46.1333,167.6833,41.54,91,94,6.33,overcast clouds
69,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.07,27,9,4.68,clear sky
70,Alofi,NU,-19.0595,-169.9187,71.49,88,73,5.75,broken clouds
71,Husavik,IS,66.0449,-17.3389,56.23,71,79,5.37,broken clouds
72,Bethel,US,41.3712,-73.414,79.47,47,100,5.48,light rain
73,Georgetown,MY,5.4112,100.3354,83.89,86,20,0.0,few clouds
74,Yellowknife,CA,62.456,-114.3525,63.12,72,20,0.0,few clouds
75,Samaipata,BO,-18.15,-63.8667,67.28,60,100,6.53,overcast clouds
76,Sayyan,YE,15.1718,44.3244,67.66,48,96,6.58,overcast clouds
77,Sao Filipe,CV,14.8961,-24.4956,76.14,81,14,5.66,few clouds
78,Iqaluit,CA,63.7506,-68.5145,58.73,58,100,20.71,overcast clouds
79,Kruisfontein,ZA,-34.0033,24.7314,71.89,26,0,6.73,clear sky
80,Proletarskiy,RU,50.7914,35.7731,66.33,64,92,9.78,overcast clouds
81,Victoria,HK,22.2855,114.1577,87.85,80,100,11.99,overcast clouds
82,Port Elizabeth,ZA,-33.918,25.5701,77.29,31,0,6.91,clear sky
83,Marzuq,YE,14.4,46.4667,93.02,20,100,9.55,overcast clouds
84,Saint Anthony,US,45.0205,-93.218,85.17,67,75,4.61,broken clouds
85,Oktyabrskiy,RU,54.4815,53.471,69.69,79,0,3.36,clear sky
86,Ozernovskiy,RU,51.5,156.5167,53.51,97,95,0.78,overcast clouds
87,Saint-Philippe,RE,-21.3585,55.7679,67.59,75,65,12.12,broken clouds
88,Kapaa,US,22.0752,-159.319,74.19,92,39,13.18,light rain
89,Ust-Tsilma,RU,65.441,52.1498,76.42,49,99,4.07,overcast clouds
90,Yar-Sale,RU,66.8333,70.8333,60.89,56,22,7.7,few clouds
91,Mount Gambier,AU,-37.8333,140.7667,53.51,94,75,10.36,shower rain
92,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.1,80,42,14.81,scattered clouds
93,Alamogordo,US,32.8995,-105.9603,87.57,32,0,6.91,clear sky
94,Dordrecht,NL,51.81,4.6736,74.98,51,17,5.01,few clouds
95,Namibe,AO,-15.1961,12.1522,68.32,83,3,9.31,clear sky
96,Narsaq,GL,60.9167,-46.05,41.79,89,100,4.83,overcast clouds
97,Avera,US,33.194,-82.5271,87.55,54,83,2.95,broken clouds
98,Kalabo,ZM,-14.97,22.6814,72.19,25,0,5.97,clear sky
99,Saskylakh,RU,71.9167,114.0833,53.42,67,39,9.53,scattered clouds
100,Manokwari,ID,-0.8667,134.0833,77.76,82,87,3.94,overcast clouds
101,Manta,EC,-0.95,-80.7333,74.98,78,100,8.05,overcast clouds
102,Sao Joaquim Do Monte,BR,-8.4325,-35.8044,73.33,82,85,14.2,overcast clouds
103,San Quintin,MX,30.4833,-115.95,70.74,73,1,7.45,clear sky
104,Punta Arenas,CL,-53.15,-70.9167,32.11,93,75,8.05,broken clouds
105,New Norfolk,AU,-42.7826,147.0587,49.5,76,99,1.01,heavy intensity rain
106,Chifeng,CN,42.2683,118.9636,67.93,85,89,1.36,overcast clouds
