City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Monteiro,BR,78.6,broken clouds,-7.8894,-37.12,Pousada Seu Tião
4,Anito,PH,79.05,broken clouds,12.4497,125.2886,El Felix Cottages
6,Itoman,JP,84.4,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
13,Sterling,US,86.23,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
15,Hithadhoo,MV,83.39,scattered clouds,-0.6,73.0833,Scoop Guest House
18,Stephenville,US,89.87,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
19,Lorengau,PG,81.3,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
27,Hilo,US,79.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
34,Atuona,PF,76.41,light rain,-9.8,-139.0333,Villa Enata
36,Mattru,SL,79.7,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
37,Faanui,PF,77.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
47,Mayo,US,87.67,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
49,Salalah,OM,77.68,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
51,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
52,Ponta Do Sol,PT,78.12,few clouds,32.6667,-17.1,Hotel do Campo
53,Butaritari,KI,78.06,light rain,3.0707,172.7902,Isles Sunset Lodge
58,Pirenopolis,BR,82.89,broken clouds,-15.8525,-48.9592,Mandala dos Pirineus Eco Village
72,Bethel,US,79.47,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
73,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
77,Sao Filipe,CV,76.14,few clouds,14.8961,-24.4956,Hotel Xaguate
81,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Central
82,Port Elizabeth,ZA,77.29,clear sky,-33.918,25.5701,39 On Nile Guest House
84,Saint Anthony,US,85.17,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
89,Ust-Tsilma,RU,76.42,overcast clouds,65.441,52.1498,U Praskov'i
92,Sao Jose Da Coroa Grande,BR,78.1,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
93,Alamogordo,US,87.57,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
100,Manokwari,ID,77.76,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
108,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
114,Flin Flon,CA,78.64,smoke,54.7682,-101.865,Victoria Inn Flin Flon
115,Palu,ID,76.75,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
119,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
125,Cabo San Lucas,MX,86.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
126,Superior,US,82.62,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
130,Saldanha,ZA,75.25,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
