City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Leu,-21.15,55.2833,66.31,64,47,2.04,RE,2022-07-14 00:08:40
1,Chokurdakh,70.6333,147.9167,51.53,50,53,10.78,RU,2022-07-14 00:08:41
2,Fortuna,40.5982,-124.1573,68.86,72,75,4.0,US,2022-07-14 00:08:41
3,Khatanga,71.9667,102.5,43.77,82,100,9.08,RU,2022-07-14 00:08:41
4,Albany,42.6001,-73.9662,79.21,73,78,4.36,US,2022-07-14 00:07:02
5,Suntar,62.1444,117.6319,64.17,69,90,3.74,RU,2022-07-14 00:08:42
6,Klaksvik,62.2266,-6.589,49.12,73,86,4.45,FO,2022-07-14 00:08:38
7,Cape Town,-33.9258,18.4232,57.88,94,100,10.0,ZA,2022-07-14 00:08:42
8,Palestine,31.9216,35.2033,67.42,93,9,4.85,PS,2022-07-14 00:08:42
9,Necochea,-38.5473,-58.7368,47.86,59,80,7.16,AR,2022-07-14 00:08:42
10,Santa Lucia,27.9117,-15.5407,63.72,68,20,23.02,ES,2022-07-14 00:05:12
11,San Quintin,30.4833,-115.95,69.28,74,68,14.7,MX,2022-07-14 00:08:43
12,Burnie,-41.0667,145.9167,49.95,65,19,2.24,AU,2022-07-14 00:08:43
13,Hasaki,35.7333,140.8333,77.4,85,97,13.24,JP,2022-07-14 00:08:43
14,Kokstad,-30.5472,29.4241,43.43,43,0,5.35,ZA,2022-07-14 00:08:43
15,Ivanivka,46.7208,34.553,60.01,64,61,9.01,UA,2022-07-14 00:08:44
16,Tiksi,71.6872,128.8694,38.68,93,99,6.69,RU,2022-07-14 00:08:44
17,Salalah,17.0151,54.0924,77.09,100,100,6.91,OM,2022-07-14 00:08:44
18,Hermanus,-34.4187,19.2345,60.8,85,100,16.62,ZA,2022-07-14 00:08:44
19,Ushuaia,-54.8,-68.3,35.26,80,40,8.05,AR,2022-07-14 00:07:11
20,Namatanai,-3.6667,152.4333,83.53,73,100,5.88,PG,2022-07-14 00:08:45
21,Dikson,73.5069,80.5464,44.69,71,100,6.87,RU,2022-07-14 00:08:45
